query,passage_id,chapter,section,subsection,page,cluster_name,text
credit,p00225,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,53,Academic Procedures — Topic 2,"In the fall or spring term, a student must be enrolled in no less than a normal course load of 16 credits to be approved to change the grading basis of a course to CR/NC. In order to receive a CR (Credit), a student must have received a grade of Cor better in the course. A grade of D+ or below will be reflected on the transcript as NC (No Credit). Neither CR nor NC will be factored into the grade point average. Students who receive NC will receive no credit for the course and will be ineligible for Dean’s List in that term."
credit,p00226,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,53,Academic Procedures — Topic 2,"Students who receive CR may still be eligible for the dean’s list if they have completed at least 16 credits for a regularly assigned grade (see section on Dean’s List). In determining whether a student should be placed on academic warning, probation or suspended for academic reasons, a grade of NC earned in a course (other than PE courses), whether that course is offered only on the CR/NC basis or the student elects to take it on the CR/NC basis, is considered equivalent to a grade of F."
credit,p00227,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,53,Majors & Courses — Topic 2,"In their first year (two terms), students may use up to eight of the sixteen CR/NC credits for any course, up to a maximum of 4 credits per term. For students in their 3 rd term and beyond, CHINESE 201A-B and CHINESE 202A-B may also be taken on a CR/NC basis. Courses taken on a CR/NC basis from the 3 rd term onward (except those courses offered only on this basis and the previously mentioned 200-level Chinese language courses) do not count toward general education requirements or any other degree requirements (major, including prerequisites), unless by special permission from the Office of Undergraduate Studies."
credit,p00228,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,53,Academic Procedures — Topic 2,"For students in any year, courses in which a CR is earned do count toward the requirement for 136 credits and term credit requirements. A student who has taken a course on a CR/NC basis and earned a CR may not retake the course. A course for which a grade of NC is assigned cannot be used to satisfy the prerequisite for another course, even if the original grade was a passing grade (D+, D, or D-). A student may not use a CR/NC option on a course being taken for a second (or more) time."
credit,p00229,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,53,Student Life & Support,"(See section on Credit/No Credit (CR/NC) Grading System.) With the exception of study at Duke University, students studying abroad may not receive credit for courses taken on a CR/NC (or Pass/Fail or Satisfactory/Unsatisfactory) basis. Courses taken while a DKU student is studying away at Duke University may be taken on a Duke Satisfactory/Unsatisfactory basis, subject to Duke’s processes, regulations and deadlines – which"
credit,p00230,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,54,Student Life & Support,"may differ from those at DKU. Courses taken at Duke on a S/U basis will transfer back to DKU and be recorded using DKU’s CR/NC system. Such courses will be subject to all regulations and limitations stated for the DKU CR/NC policy in the DKU Bulletin, including all restrictions on the number of credits and which courses can be taken on this basis. Students declaring S/U at Duke are required to consult their DKU academic advisor to ensure that they will be using a DKU CR/NC option in an appropriate manner."
credit,p00231,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Classes of 2022-2024,54,Student Life & Support,"Students who use S/U on a Duke course that cannot be transferred over as CR/NC at DKU will not earn credits for the course and may be ineligible to retake it at either institution. The change of grading basis to CR/NC can be done through filing a form with the registrar, but students need to get approval from their advisors. Students who receive a NC (by changing a grade of D+ or below) should be mindful of continuation requirements, e.g."
credit,p00233,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,54,Student Life & Support,"In order to encourage students to explore the richness and variety of Duke Kunshan University’s curricular offerings without worrying unduly about grades, students may elect to take up to four credits each session on a Credit/No Credit basis. No more than sixteen credits (in either two-credit or four-credit courses) towards the 136 credits requirement may be taken on a Credit/No Credit basis. The limit of sixteen credits does not apply to courses that are only offered on the Credit/No Credit basis."
credit,p00234,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,54,Academic Procedures — Topic 2,"All students will register for regular graded courses on a graded basis, and faculty will assign regular grades throughout the term, as well as a final grade for the course. However, a student may elect to change the grading basis to Credit/No Credit at any time up until the course withdrawal deadline of the session in which the student takes the course. Once this declaration is made, the grading basis cannot be changed back to a regular grade."
credit,p00235,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,54,Academic Procedures — Topic 2,"First-year students in the first session of their first term must be enrolled in no less than a normal course load of 6 credits to be approved to change the grading basis of a course to CR/NC. In all subsequent sessions, a student must be enrolled in no less than a normal course load of 8 credits to be approved to change the grading basis of a course to CR/NC. In order to receive a CR (Credit), a student must have received a grade of Cor better in the course. A grade of D+ or below will be reflected on the transcript as NC (No Credit)."
credit,p00236,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,54,Academic Procedures — Topic 2,Neither CR nor NC will be factored into the grade point average. Students who receive NC will receive no credit for the course and will be ineligible for Dean’s List in that term. Students who receive CR may still be eligible for the dean’s list if they have completed at least 16 credits for a regularly assigned grade (see section on Dean’s List).
credit,p00238,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,55,Majors & Courses — Topic 2,"In their first year (two terms, 4 sessions), students may use the CR/NC credits for any course, up to a maximum of 4 credits per session. For students in their 3 rd term and beyond, CHINESE 201AB and CHINESE 202A-B may also be taken on a CR/NC basis. Courses taken on a CR/NC basis from the 3 rd term onward (except those courses offered only on this basis and the previously mentioned 200-level Chinese language courses) may not count toward general education requirements or any other degree requirements (major, including prerequisites), unless by special permission from the Dean of Undergraduate Studies or designee."
credit,p00239,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,55,Student Life & Support,"(See section on Credit/No Credit (CR/NC) Grading System.) With the exception of study at Duke University, students studying abroad may not receive credit for courses taken on a CR/NC (or Pass/Fail or Satisfactory/Unsatisfactory) basis. Courses taken while a DKU student is studying away at Duke University may be taken on a Duke Satisfactory/Unsatisfactory basis, subject to Duke’s processes, regulations and deadlines – which may differ from those at DKU. Courses taken at Duke on a S/U basis will transfer back to DKU and be recorded using DKU’s CR/NC system."
credit,p00240,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,55,Student Life & Support,"Such courses will be subject to all regulations and limitations stated for the DKU CR/NC policy in the DKU Bulletin, including all restrictions on the number of credits and which courses can be taken on this basis. Students declaring S/U at Duke are required to consult their DKU academic advisor to ensure that they will be using a DKU CR/NC option in an appropriate manner. Students who use S/U on a Duke course that cannot be transferred over as CR/NC at DKU will not earn credits for the course and may be ineligible to retake it at either institution."
credit,p00241,Part 6: Academic Procedures and Information,Grading and Grade Requirements,Credit/No Credit (CR/NC) Grading System for the Class of 2025 and Beyond,55,Academic Procedures — Topic 2,"The change of grading basis to CR/NC can be done through filing a form with the registrar, but students need to get approval from their advisors. Students who receive a NC (by changing a grade of D+ or below) should be mindful of term credit requirements, e.g. that they may be subject to academic warning (see section on Progress Toward Graduation), or that they may have to take an extra course a later term or during the summer in order to ensure that they graduate on time."
credit,p00244,Part 6: Academic Procedures and Information,Progress toward Degree,,56,Academic Procedures — Topic 2,"Students must achieve a satisfactory record of academic performance each term and make satisfactory progress toward graduation each year. Progress is assessed primarily by a student’s grade-point average. (See also the section on Academic Warning, Probation, and Suspension relevant for your class year.) However, other factors including enrollment in an underload, withdrawal to an underload, course repeat, grades of F or NC, D grades beyond 8 credits, leaves of absence, and suspensions may impact the total number of credits and therefore hinder a student’s progress toward graduation. Students should discuss with their academic advisor any factors that might impact their ability to meet term credit requirements."
credit,p00245,Part 6: Academic Procedures and Information,Progress toward Degree,,56,Academic Procedures — Topic 2,Students who fail to meet the minimum credit requirements each term will receive an academic warning.
credit,p00246,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),56,Academic Procedures — Topic 2,Students must make satisfactory progress toward fulfillment of curricular requirements and credits each term.
credit,p00247,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),56,Academic Procedures — Topic 2,"All students must meet the following minimum requirements at the start of each fall and spring term or receive an academic warning: To be on track for an on-time graduation, at the start of the A student should have earned at least 7 An academic warning will be issued to students who have earned less than 7 2nd term at Duke Kunshan 16 credits 12 credits 3rd term at Duke Kunshan 34 credits 30 credits 4th term at Duke Kunshan 52 credits 46 credits 5th term at Duke Kunshan 68 credits 62 credits 6th term at Duke Kunshan 84 credits 78 credits 7th term at Duke Kunshan 102 credits 96"
credit,p00248,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),56,Student Life & Support,credits 8th term at Duke Kunshan 116 credits 112 credits Students may not carry an underload without the permission of their advisors and the Dean of Undergraduate Studies or designee.
credit,p00249,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),56,Academic Procedures — Topic 2,"For the purposes of calculating term credit requirements, incomplete work in any course is considered a failure to achieve satisfactory performance in that course and will be counted as 0 credits. 7 A maximum of 8 credits passed with a D grade (D, D+, D-) can be counted."
credit,p00250,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),56,Student Life & Support,"The credit count may include (1) no more than 2 credits in physical education activity courses (i.e., four half-credit activity courses)’ (2) no more than 8 credits taken on a CR/NC grading basis (not including courses offered only on that basis); (3) no more than 40 credits combining any allowable transfer credits, including AP/IPC, transfer credits for study abroad, etc.; and (4) no more than the Duke Kunshan University equivalent of 24 credits in graduate and professional school courses not listed in the Duke University Undergraduate Programs Bulletin. (See Section 3, Credits Required for Degrees.)"
credit,p00251,Part 6: Academic Procedures and Information,Progress toward Degree,Satisfactory Performance Each Term (Term Credit Requirements),57,Academic Procedures — Topic 2,"Students who receive an academic warning for failing to meet the term credit requirements may make up additional credits by enrolling in 20 credits in a subsequent term, enrolling in an overload once a positive academic trajectory has been established, or completing summer coursework at Duke or on another approved study away program. (See Section on Study Away.). Alternatively, students might delay their graduation date. (See Section on Time Limit for Completing Undergraduate Degree.)"
credit,p00254,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Warning,57,Academic Procedures — Topic 2,"Failure to meet any of the following standards will result in academic warning by the Office of Undergraduate Studies: 1. A single or more grade of F or NC (excluding PE courses) in a term 2. A second or more grade of D (D, D-, D+) over the student’s tenure at DKU 3. Failure to meet the term credit requirements (See section on Term Credit Requirements All students issued an academic warning are required to meet with the Director for Academic Advising or designee to discuss their academic progress. Students should also consult with their academic advisor."
credit,p00255,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Probation,57,Academic Procedures — Topic 2,"For a student enrolled in 16 or more credits, the following grades will result in academic probation for the succeeding spring or fall term: during the first term of the freshman year, grades including DD, DF, or FF; during any subsequent spring/fall term, grades including DDD, DF or FF (as long as the student has passed at least 12 credits); and during two consecutive spring/fall terms, grades including DDDD, DDDF, or DDFF."
credit,p00256,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Probation,57,Academic Procedures — Topic 2,"For a student enrolled in an authorized underload (i.e., fewer than 16 credits), the following academic performance will result in academic probation: during the first term of the freshman year, grades of DD or F; during any subsequent fall/spring term, grades"
credit,p00257,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Probation,58,Academic Procedures — Topic 2,"including DDD or DF (as long as 12 credits have been passed in that term); and during two consecutive spring/fall terms, grades including DDDD, DDDF, or DDFF. In a case where probation may be in question because of an incomplete grade, the student will be notified by the Office of the Registrar of the need to have the incomplete replaced by a satisfactory grade in order to avoid academic probation. That is, the satisfactory final grade must be sufficient to avoid the combination of D and F grades that would result in academic probation, as described above."
credit,p00259,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Probation,58,Academic Procedures — Topic 2,"In order to do so, they must enroll in 16 credits (plus up to one PE credit), of which no more than 4 credits may be taken on a Credit/No Credit basis. Grades of C, CR, or better must be earned in each course, or a C average must be achieved in that term. Probationary status cannot be cleared in a term in which students seek permission and are allowed to withdraw to an underload. In such cases, the probationary status continues through the next fall or spring term of enrollment."
credit,p00266,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Academic Warning,59,Academic Procedures — Topic 2,"Failure to meet any of the following standards will result in academic warning by the Office of Undergraduate Studies: 4. A single or more grade of F or NC (excluding PE courses) in a term 5. A second or more grade of D (D, D-, D+) over the student’s tenure at DKU 6. Failure to meet the term credit requirements (See section on Term Credit Requirements All students issued an academic warning are required to meet with the Director for Academic Advising or designee to discuss their academic progress. Students should also consult with their academic advisor."
credit,p00269,Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Academic Probation,60,Academic Procedures — Topic 2,"They are also required to meet with the Director for Academic Advising or designee and are expected to seek assistance from campus resources, have their course selection approved by their advisors and meet periodically with a designated academic coach. They may not study away during the probation period. Students are expected to clear their probationary status during the term of probation. In order to do so, they must enroll in 16 credits (plus up to one PE credit), of which no more than 4 credits may be taken on a Credit/No Credit basis, and achieve term and cumulative grade-point averages of at least 2.000."
credit,p00283,Part 6: Academic Procedures and Information,Changes in Status,Leave of Absence,62,Academic Procedures — Topic 2,"If the leave of absence starts from the first term in their freshmen year, students should first complete all the new student registration procedures before applying for a leave of absence. A student may receive transfer credit for no more than two courses, up to a maximum of 8 credits, taken at another accredited four-year institution in the US or similarly accredited institution abroad and with a liberal arts and general education curriculum while on leave of absence for personal or medical reasons."
credit,p00286,Part 6: Academic Procedures and Information,Changes in Status,Leave of Absence,62,Student Life & Support,Students who undertake independent study under Duke Kunshan University supervision and for Duke Kunshan University credit are not on leave of absence even if studying elsewhere.
credit,p00287,Part 6: Academic Procedures and Information,Changes in Status,Full-time and Part-time Degree Status,63,Academic Procedures — Topic 2,"Candidates for degrees must enroll in a normal course load (i.e., at least 16 credits) each term unless they are eligible and have received permission from their academic advisor and the Dean of Undergraduate Studies or designee to be enrolled in fewer than 16 credits. Students who intend to change from full-time to part-time status must request permission from the Office of Undergraduate Studies. Except for extraordinary circumstances, such permission is given only to students for the final term of their senior year. Students must register their intention to be part-time prior to the first day of class of the term in which the part-time status is requested."
credit,p00288,Part 6: Academic Procedures and Information,Changes in Status,Full-time and Part-time Degree Status,63,Academic Procedures — Topic 2,Part-time students may register for no less than 4 credits and no more than 11 credits. Part-time students may be denied university housing. (See section on Progress toward Degree.)
credit,p00291,Part 6: Academic Procedures and Information,Academic Recognition and Honors,Dean's List,63,Academic Procedures — Topic 2,"Dean’s List accords recognition to academic excellence achieved during each term. To be eligible for this honor, undergraduates must earn a grade point average for a term that places them in the highest third of undergraduates in their class year and in addition must (1) complete at least 16 credits for a regularly assigned grade (i.e., no Credit/No Credit courses); and (2) receive no incomplete or failing (F, NC) grades (including PE courses)."
credit,p00298,Part 6: Academic Procedures and Information,Notification of Intention to Graduate,,64,Academic Procedures — Topic 2,"The Diploma Form submitted by students is official notification that they expect to have completed all requirements for the degree and to receive the diploma on a particular graduation date. They will be confirmed for that specific graduation if basic requirements, i.e., general education, one major, number of credits earned through courses taught or co-taught by Duke faculty, and any additional requirements for students from the Chinese mainland, Hong Kong, Macau and Taiwan have been completed. It is the responsibility of students to submit the form on or before established deadlines."
credit,p00300,Part 6: Academic Procedures and Information,Graduation and Commencement,,64,Academic Procedures — Topic 2,Commencement exercises are held once a year in May when degrees are conferred upon and diplomas are issued to those who have completed degree requirements by the end of the spring term. Students who complete requirements by the end of the summer term or by the end of the fall term receive diplomas in May of the following academic year. Students who are within 20 credits of graduation at the end of the spring term may request to participate in the annual commencement exercises.
credit,p00305,Part 6: Academic Procedures and Information,Procedure for Resolution of Students' Academic Concerns,,65,Student Life & Support,"Duke Kunshan University (DKU) is committed to providing a learning environment in which concerns related to academic matters (issues pertaining to a course, academic instruction or other activities that receive academic credit) are resolved promptly and with support to all parties. Because DKU is committed to its students and the implementation of consistent and nondiscriminatory academic policies and processes, the university has created procedures for resolving academic complaints. This policy refers to academic complaints that are not related to grading. Grade complaints are covered by the separate Undergraduate Student Grade Appeal Resolution Process."
credit,p00341,"Part 8: Career Services, Study Away, and Research Opportunities",Student Research Opportunities,,73,Student Life & Support,"Research experience is an important component of the Duke Kunshan University undergraduate program. Students can do research with Duke Kunshan faculty for credit during the academic year. In limited cases, research for pay is an option. Depending on a student’s particular interests, research may also play a role in their signature work project. In addition, the University Summer Research Scholars (SRS) program supports students participating in collaborative research supervised by Duke Kunshan or Duke faculty over the summer. Students interested in either summer or academic year research are encouraged to discuss their interests directly with faculty whose research areas align."
credit,p00343,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,,73,Student Life & Support,Students who are in good standing at Duke Kunshan University will have the opportunity to attend a study away program for one academic term in their junior year and/or summer terms. The Office of Global Education is responsible for vetting and approving all academic study programs undertaken for credit abroad or off campus. The Office also facilitates the course credit transfer request process for students studying in such programs.
credit,p00344,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,Eligibility,73,Student Life & Support,"Students must apply and receive approval to participate in any credit-bearing study away opportunities through the Office of Global Education. Approved programs (either on DKU’s preapproved program list, or approved by individual petition) will be eligible for credit transfer back to DKU. All students who plan to study away must apply through DKU, receive approval to participate, and sign the DKU Participation Agreement before committing or accepting enrollment in any credit-bearing program. Students may study away and transfer credits for one academic term in their junior year, as well as during summers."
credit,p00348,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,Study Away Opportunities,74,Student Life & Support,"DKU maintains a rich network of opportunities for global learning. Programs around the world include the option of studying at Duke University and a wide variety of international exchanges, university direct enrollment programs, and provider-based programs. Regardless of the program type or location, students must first start their search and application process with the DKU Office of Global Education. Students should refer to the Office of Global Education website for the most up-to-date information on advising for global learning experiences, preapproved program lists, application processes, and credit-transfer processes."
credit,p00356,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,Course Approval and Credit Transfer,75,Student Life & Support,"Students may transfer up to a maximum of 40 credits taken outside of the Duke Kunshan University campus, including advanced placement credits. A maximum of 8 credits may be from coursework undertaken while on voluntary leave of absence for personal or medical reasons. No credit will be accepted for coursework taken while a Duke Kunshan University student is withdrawn, suspended, or on involuntary leave of absence. All courses must be pre-approved for transfer credit. Policies and procedures for course approvals are available from the Office of Global Education."
credit,p00358,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,Course Approval and Credit Transfer,76,Student Life & Support,Students who use S/U on a Duke course that cannot be transferred over as CR/NC at DKU will not earn credits for the course and may be ineligible to retake it at either institution. For courses taken at universities other than Duke University: Transfer of academic credit from nonDuke host institutions or programs is neither automatic nor guaranteed. Students should approach course planning carefully and thoroughly familiarize themselves with advising materials and the course approval and transfer process detailed in the Office of Global Education website and Sakai site. Students should complete the course approval process before committing to attend any program.
credit,p00359,"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,Course Approval and Credit Transfer,76,Student Life & Support,"Most courses taken on study away programs are eligible to transfer to DKU as general elective credits, although suitable courses may be submitted for review as full equivalencies or thematic area equivalencies that fulfill major requirements. Only courses taken in which grades of Cor better have been earned are acceptable for transfer credit; courses taken at other institutions with CR/NC grading or the equivalent are not accepted for transfer credit. Students must be able to submit an official transcript, with credits and grades provided by the host institution to the Office of Registrar, DKU."
credit,p00398,Part 10: Majors and Courses,Requirements for All Majors,Language Courses (8-16 Credits),84,Majors & Courses — Topic 2,Please see details in Part 3: The Curriculum. Students in the English for academic purposes (EAP) track are required to take eight credits of EAP courses - EAP 101A to EAP 102B; they can also take 200+ level EAP elective courses or WOC courses to further develop their academic English skills. Students in the Chinese as Second Language (CSL) track need to take 8-16 credits of CHINESE courses appropriate to their Chinese skill level. Students in the Third Language track can satisfy their foreign language requirement by taking 8 credits of written and oral communication (WOC) courses or Third Language (TLANG) independent study courses through the Language Learning Studio.
credit,p00401,Part 10: Majors and Courses,Requirements for All Majors,Required Experiential Learning,85,Academic Procedures — Topic 2,1 Non-credit Mini-Term Course (Not required for the Class of 2022)
credit,p00482,Part 10: Majors and Courses,Majors (listed in alphabetical order),And choose one of the fol l owi ng three Modern World History courses,117,Majors & Courses,"HIST 110 Historical Perspectives on Contemporary Global Issues 4 HIST 313 Southeast Asia from the Age of Imperialism to the Global Cold War 4 HIST 410 The Spice Race: How the Spice Trade shaped our World 4 And a third 4-credit World History course (200-400 level) (i.e., history courses among the electives recommended for this major or other history courses listed under pre-modern or modern World History courses) And one 4-credit non-W o rl d Hi story course (100-400 level) (i.e., any history course not listed among the electives recommended for this major) 4"
credit,p00545,Part 10: Majors and Courses,Majors (listed in alphabetical order),"And an additional 4-credit Chinese History course (200-400 level) (i.e., history courses among the electives recommended for this major) 4",142,Majors & Courses — Topic 2,"And one 4-credit non-Chinese History course (1004 0 0 l e ve l) (i .e ., a n y h i st ory course not listed among the electives recommended for this major) 4"
credit,p00565,Part 10: Majors and Courses,Majors (listed in alphabetical order),And c hoose one of the following three Modern World History courses,154,Majors & Courses,"HIST 110 Historical Perspectives on Contemporary Global Issues 4 HIST 313 Southeast Asia from the Age of Imperialism to the Global Cold War 4 HIST 410 The Spice Race: How the Spice Trade shaped our World 4 And a third 4-credit World History course (200-400 level) (i.e., history courses among the electives recommended for this major or other history courses listed under pre-modern or modern World History courses)"
credit,p00685,Part 10: Majors and Courses,Majors (listed in alphabetical order),Course Code Course Name Course Credit,208,Majors & Courses — Topic 3,"HIST 104 American History to 1876 4 HIST 105 American History from Reconstruction to the Present 4 HIST 201 History Methods and Research 4 And an additional 4-credit American History course (200-400 level) (i .e ., h i st ory courses among the electives recommended for this major) 4"
credit,p00700,Part 10: Majors and Courses,Course Descriptions,"ARTS 21 General Art, Studio (4 credits)",217,Academic Procedures — Topic 2,Credit for advanced placement on the basis of the College Board examination in Studio Art.
credit,p00703,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Behavior Science (BEHAVSCI),219,Majors & Courses — Topic 3,"BEHAVSCI 101 Introduction to Behavioral Science (4 credits) This course provides a broad overview of the research methods and applications of behavioral science. It introduces core phenomena of human behavior including but not limited to decision making, perception and action, and group interactions. It also considers how behavior is influenced by institutions (e.g., governmental policies, business, and environment). The course is expressly interdisciplinary, drawing upon theories and empirical research in psychology, behavioral economics, political science, and other social sciences."
credit,p00704,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Behavior Science (BEHAVSCI),219,Majors & Courses — Topic 3,"BEHAVSCI 102 Mechanisms of Human Behavior (4 credits) This course introduces students to the primary empirical approaches in behavioral science through a combination of directed readings and hands-on experience with the primary methods in the field. Students will design, conduct, and analyze experiments that explore perception, action, and decision making in a laboratory setting. Students will also explore complex social behavior by implementing online experiments and analyzing the resulting data."
credit,p00705,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BEHAVSCI 101,219,Majors & Courses — Topic 3,"BEHAVSCI 201 Individuals and Their Decisions (4 credits) This course is a team-taught, question-driven introduction to the certificate and the fundamentals of how humans make decisions. The primary goal is to provide hands-on and problem-focused instruction designed to connect students to research as quickly as possible. Substantive topics include behavioral and experimental economics, consumer behavior and marketing research, game theory, medical decision making, neuroeconomics, and political psychology."
credit,p00706,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BEHAVSCI 102,219,Curriculum & Degree Requirements,"BEHAVSCI 202 Institutions, Groups, and Society (4 credits) Through this course, students will gain a deeper appreciation of how the behavior of individuals is influenced by macroscopic factors: group memberships and identity, commercial and political institutions, and cultural and societal norms. Sample topics include voting behavior, legal decision making, how diversity shapes group dynamics, cross-cultural differences in perception and decision making, and the rise and fall of cultural memes. The course will also explore the incorporation of behavioral science into public policy through “nudges” that can shape individual behavior."
credit,p00707,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): BEHAVSCI 102,220,Majors & Courses — Topic 3,"BEHAVSCI 203 Comparative Analysis of Behavior (4 credits) This course explores commonalities and differences in behavior across species, with a particular focus on how behavior has been shaped by evolutionary pressures (e.g., ecological niches). It will identify ways in which human behavior is mirrored in other great ape species, while also considering evidence for and against uniquely human behavioral capacities. The course will draw upon concepts from psychology, evolutionary anthropology, and related disciplines."
credit,p00708,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): PSYCH 101 or NEUROSCI 102,220,Majors & Courses — Topic 3,"BEHAVSCI 204 Experimental Philosophy (4 credits) This course investigates the interrelations between the experimental methods of the social/neural sciences and the fundamental questions of philosophy. Students will consider whether and how empirical research could influence a range of philosophical ideas; key topics include the nature of free will, questions of personal responsibility, and ethical judgments and decisions. The limitations of empirical methods – and the challenges of integrating theories across disciplines – will also be explored. BEHAVSCI 205 Systems and Circuits (4 credits) This course will focus on how brain mechanisms enable behavior. We will examine the neural basis of homeostatic control, voluntary actions, motivation, emotion, and decision making."
credit,p00710,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): NEUROSCI 102,220,Majors & Courses — Topic 3,"BEHAVSCI 301 Computational Neuroscience (4 credits) Students will explore a variety of computational models that have been applied to brain physiology and function. The course will emphasize both understanding of the theoretical underpinnings of those models and applying those models within simulations or data analyses. It will span levels of analysis from neural circuits (e.g., computations in local populations of neurons) to high-level cognition and behavior (e.g., coding properties within sensory systems). The course will include hands-on laboratory exercises; thus, prior programming experience is recommended."
credit,p00711,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): NEUROSCI 102,220,Curriculum & Degree Requirements,"BEHAVSCI 401 Moving Beyond Nudges (4 credits) This capstone course explores the ethical issues associated with the rise of behavioral science, with particular focus on the intersections between individual autonomy and policy. It is organized around a series of case studies that illustrate applications of behavioral science to different domains;"
credit,p00713,Part 10: Majors and Courses,Course Descriptions,"Prerequisite(s): BEHAVSCI 201, BEHAVSCI 202",221,Curriculum & Degree Requirements,"BEHAVSCI 402 Judgement and Decision Making (4 credits) Building upon the foundational courses in this disciplinary track, this course explores how psychological processes shape human judgment and decision making. Core concepts include understanding rational choice models and their limitations; decision variables like probability, ambiguity, and risk; applications of heuristics to decision making; effective and ineffective uses of incentives; decision rules and aids; and types of interventions that can shape choices."
credit,p00714,Part 10: Majors and Courses,Course Descriptions,BIOL 20 General Biology (4 credits),222,Majors & Courses — Topic 4,"Credit for Advanced Placement on the basis of the College Board Examination in Biology. BIOL 110 Integrated Science – Biology (4 credits) Integrated Science-Biology employs five themes that describe properties of life and will be reiterated over again in Integrated Science-Biology: Organization (Structure and Function), Cycling of Energy and Matter, Information (Genetic Variation), Homeostasis (Interactions), and Evolution. These themes will be unified under the organizational principles of the Scientific Methods, formulating hypothesis and testing hypothesis with experiments. Students in Integrated ScienceBiology will develop the understanding of key concepts in the context of cross-talks with chemistry and physics. While no previous knowledge is required, some background is advantageous."
credit,p00715,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): None,222,Majors & Courses — Topic 4,"BIOL 201 Cell and Molecular Biology (4 credits) Introduces major concepts in eukaryotic cell biology with a focus on molecular biology. A major emphasis is placed on transcription, translation, protein targeting and transport. In addition, the structure and function of organelles and how they function in metabolism and energetics will be examined. The role of the cytoskeleton and extra cellular matrix in governing cell shape and motility will be addressed as well as the genetic regulation of DNA replication and its place in the cell cycle and how disruption of either can lead to cancer."
